test_name,millis,elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,accel_dynamic_g
desk_still,4074,2,0.1863,-0.0691,0.9326,-4.92,-0.03,-0.72,0.9535,0.0465
desk_still,4086,14,0.1802,-0.0693,0.9219,-4.92,-0.02,-0.92,0.9419,0.0581
desk_still,4098,26,0.1807,-0.0642,0.9312,-4.89,-0.24,-0.52,0.9507,0.0493
desk_still,4110,38,0.1846,-0.0649,0.9343,-4.95,-0.31,-0.40,0.9546,0.0454
desk_still,4122,50,0.1768,-0.0740,0.9209,-4.93,-0.18,-0.66,0.9406,0.0594
desk_still,4134,62,0.1748,-0.0671,0.9319,-4.92,-0.11,-0.51,0.9505,0.0495
desk_still,4146,74,0.1741,-0.0674,0.9336,-4.75,-0.25,-0.69,0.9521,0.0479
desk_still,4158,86,0.1702,-0.0686,0.9194,-5.06,-0.12,-0.68,0.9376,0.0624
desk_still,4170,98,0.1711,-0.0647,0.9270,-4.80,-0.16,-0.78,0.9449,0.0551
desk_still,4182,110,0.1738,-0.0615,0.9307,-4.71,-0.23,-0.91,0.9488,0.0512
desk_still,4214,142,0.1804,-0.0652,0.9299,-4.76,-0.37,-0.74,0.9495,0.0505
desk_still,4226,154,0.1804,-0.0686,0.9268,-5.05,-0.16,-0.94,0.9466,0.0534
desk_still,4238,166,0.1729,-0.0723,0.9255,-4.86,-0.11,-0.77,0.9443,0.0557
desk_still,4250,178,0.1851,-0.0642,0.9275,-4.65,-0.09,-0.56,0.9479,0.0521
desk_still,4262,190,0.1777,-0.0686,0.9280,-4.87,-0.18,-0.46,0.9473,0.0527
desk_still,4274,202,0.1814,-0.0703,0.9341,-4.83,-0.24,-0.80,0.9541,0.0459
desk_still,4286,214,0.1809,-0.0654,0.9231,-4.66,-0.28,-0.59,0.9429,0.0571
desk_still,4298,226,0.1826,-0.0710,0.9263,-4.79,-0.34,-0.63,0.9468,0.0532
desk_still,4310,238,0.1809,-0.0652,0.9258,-4.86,-0.41,-0.84,0.9455,0.0545
desk_still,4322,250,0.1741,-0.0693,0.9292,-4.93,-0.12,-0.64,0.9479,0.0521
desk_still,4355,283,0.1758,-0.0674,0.9268,-4.73,-0.42,-0.79,0.9457,0.0543
desk_still,4367,295,0.1753,-0.0701,0.9312,-4.92,-0.21,-0.73,0.9501,0.0499
