test_name,millis,elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,accel_dynamic_g
upper_back_still,4150,2,0.4971,0.2656,0.7673,-16.72,-7.47,19.11,0.9521,0.0479
upper_back_still,4162,14,0.5068,0.2644,0.7546,-18.12,-7.34,19.49,0.9467,0.0533
upper_back_still,4174,26,0.5071,0.2605,0.7551,-19.63,-4.11,18.49,0.9462,0.0538
upper_back_still,4186,38,0.5117,0.2612,0.7480,-21.31,-2.50,17.44,0.9432,0.0568
upper_back_still,4198,50,0.5168,0.2397,0.7241,-20.37,-3.69,15.34,0.9214,0.0786
upper_back_still,4210,62,0.5215,0.2100,0.7129,-16.51,-1.71,14.62,0.9079,0.0921
upper_back_still,4222,74,0.5105,0.1804,0.6858,-11.12,2.98,15.82,0.8738,0.1262
upper_back_still,4234,86,0.4875,0.1912,0.6980,-4.79,5.84,16.76,0.8726,0.1274
upper_back_still,4246,98,0.4785,0.1987,0.7202,-0.04,9.70,17.25,0.8872,0.1128
upper_back_still,4258,110,0.4468,0.2251,0.7388,4.21,13.74,16.69,0.8922,0.1078
upper_back_still,4290,142,0.4211,0.2441,0.8215,11.60,20.83,10.37,0.9549,0.0451
upper_back_still,4302,154,0.4341,0.2725,0.8796,12.79,22.34,8.05,1.0181,0.0181
upper_back_still,4314,166,0.4392,0.2798,0.9373,12.14,16.20,7.76,1.0722,0.0722
upper_back_still,4326,178,0.4595,0.2690,0.9443,10.18,6.03,8.73,1.0841,0.0841
upper_back_still,4338,190,0.4626,0.2456,0.9028,8.87,1.37,10.48,1.0438,0.0438
upper_back_still,4350,202,0.4724,0.2046,0.8691,7.70,-0.63,12.27,1.0102,0.0102
upper_back_still,4362,214,0.4849,0.2034,0.8452,4.90,-3.22,13.92,0.9954,0.0046
upper_back_still,4374,226,0.4797,0.2056,0.8350,0.55,-6.34,14.32,0.9847,0.0153
upper_back_still,4386,238,0.4971,0.2129,0.7878,-4.23,-8.27,14.09,0.9556,0.0444
upper_back_still,4398,250,0.5071,0.2090,0.7571,-6.91,-5.73,14.05,0.9349,0.0651
upper_back_still,4431,283,0.5217,0.1719,0.7415,-1.10,7.71,17.31,0.9228,0.0772
upper_back_still,4443,295,0.5173,0.1985,0.7568,3.56,11.65,18.33,0.9380,0.0620
upper_back_still,4455,307,0.4993,0.2307,0.7651,8.23,14.40,17.38,0.9423,0.0577
upper_back_still,4467,319,0.4673,0.2507,0.7754,11.60,16.95,14.32,0.9394,0.0606
upper_back_still,4479,331,0.4434,0.2632,0.7874,12.54,17.49,9.77,0.9411,0.0589
upper_back_still,4491,343,0.4517,0.2747,0.8052,11.31,17.46,4.27,0.9632,0.0368
upper_back_still,4503,355,0.4700,0.2871,0.8237,8.19,22.06,-0.21,0.9909,0.0091
upper_back_still,4515,367,0.4724,0.2720,0.8608,5.40,27.09,-3.07,1.0189,0.0189
upper_back_still,4527,379,0.4695,0.2593,0.8962,3.17,27.77,-3.46,1.0445,0.0445
upper_back_still,4539,391,0.4441,0.2461,0.9080,1.79,24.86,-2.34,1.0403,0.0403
upper_back_still,4567,419,0.4304,0.2439,0.8867,0.78,13.33,2.13,1.0154,0.0154
upper_back_still,4579,431,0.4277,0.2588,0.8804,-2.09,9.44,1.98,1.0124,0.0124
upper_back_still,4591,443,0.4167,0.2698,0.8674,-6.43,9.35,2.06,0.9994,0.0006
upper_back_still,4603,455,0.4026,0.2642,0.8606,-11.49,9.01,2.27,0.9861,0.0139
upper_back_still,4615,467,0.3977,0.2546,0.8491,-15.40,6.27,2.39,0.9716,0.0284
upper_back_still,4627,479,0.3997,0.2351,0.8394,-18.29,2.44,3.74,0.9589,0.0411
upper_back_still,4639,491,0.4165,0.2227,0.8013,-19.34,0.34,6.28,0.9301,0.0699
upper_back_still,4651,503,0.4087,0.2253,0.7756,-17.94,-0.61,9.08,0.9052,0.0948
upper_back_still,4663,515,0.4055,0.2363,0.7693,-15.06,-2.43,11.18,0.9012,0.0988
upper_back_still,4675,527,0.4011,0.2493,0.7502,-12.37,-4.82,12.69,0.8865,0.1135
upper_back_still,4708,560,0.3750,0.2900,0.7764,-9.85,-4.76,11.27,0.9097,0.0903
upper_back_still,4720,572,0.3745,0.2852,0.7798,-10.56,-6.34,7.75,0.9108,0.0892
upper_back_still,4732,584,0.3896,0.2700,0.7847,-10.86,-7.48,5.31,0.9168,0.0832
upper_back_still,4744,596,0.3972,0.2505,0.7893,-10.72,-9.56,3.61,0.9184,0.0816
upper_back_still,4756,608,0.4023,0.2473,0.7734,-9.82,-11.79,2.27,0.9062,0.0938
upper_back_still,4768,620,0.4106,0.2380,0.7534,-9.14,-12.68,0.87,0.8905,0.1095
upper_back_still,4780,632,0.4194,0.2446,0.7400,-8.98,-9.64,-0.47,0.8851,0.1149
upper_back_still,4792,644,0.4299,0.2637,0.7576,-9.22,-6.43,-1.92,0.9101,0.0899
upper_back_still,4804,656,0.4255,0.2605,0.7676,-10.16,-4.70,-3.94,0.9155,0.0845
