test_name,millis,elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,accel_dynamic_g
walking,4150,2,0.6079,0.1741,0.8284,-19.22,6.86,-5.99,1.0421,0.0421
walking,4162,14,0.5496,0.1177,0.8176,-15.20,11.16,-2.95,0.9922,0.0078
walking,4174,26,0.4934,0.0632,0.8271,-8.06,7.97,-4.66,0.9652,0.0348
walking,4186,38,0.4277,0.0112,0.8279,-0.10,-2.22,-10.92,0.9319,0.0681
walking,4198,50,0.4180,-0.0056,0.7935,4.35,-13.17,-17.98,0.8968,0.1032
walking,4210,62,0.4287,0.0134,0.7407,5.73,-23.69,-23.52,0.8559,0.1441
walking,4222,74,0.4756,0.0532,0.6780,4.80,-29.78,-27.15,0.8299,0.1701
walking,4234,86,0.5498,0.0671,0.6184,1.27,-25.57,-26.84,0.8302,0.1698
walking,4246,98,0.5833,0.0952,0.5769,-1.82,-15.72,-24.24,0.8259,0.1741
walking,4258,110,0.6331,0.1062,0.5303,-1.60,-5.13,-20.12,0.8326,0.1674
walking,4290,142,0.5764,0.0801,0.7078,10.15,24.84,-8.16,0.9163,0.0837
walking,4302,154,0.5596,0.0771,0.8323,12.18,25.82,-6.70,1.0059,0.0059
walking,4314,166,0.6052,0.0557,0.8708,16.66,23.77,-2.58,1.0620,0.0620
walking,4326,178,0.5684,0.0408,0.9419,18.62,15.46,-1.09,1.1008,0.1008
walking,4338,190,0.5242,0.0420,0.9846,16.34,6.76,-2.21,1.1162,0.1162
walking,4350,202,0.4946,0.0227,0.9949,8.92,-5.06,-4.87,1.1113,0.1113
walking,4362,214,0.4548,0.0527,0.9397,-2.91,-13.66,-8.31,1.0453,0.0453
walking,4374,226,0.4634,0.0825,0.8601,-14.87,-20.28,-12.27,0.9805,0.0195
walking,4386,238,0.4863,0.1084,0.7517,-22.63,-21.63,-15.34,0.9018,0.0982
walking,4398,250,0.5132,0.1162,0.6423,-24.30,-20.37,-15.19,0.8303,0.1697
walking,4426,278,0.5388,0.1545,0.5532,-12.82,-3.23,-13.96,0.7876,0.2124
walking,4438,290,0.5625,0.1533,0.5691,-5.84,6.51,-13.30,0.8147,0.1853
walking,4450,302,0.5764,0.1470,0.6221,1.01,15.53,-11.30,0.8607,0.1393
walking,4462,314,0.5527,0.1614,0.6833,3.82,14.27,-8.47,0.8936,0.1064
walking,4474,326,0.5227,0.1562,0.7410,3.32,15.10,-6.19,0.9201,0.0799
walking,4486,338,0.5251,0.1499,0.7607,1.91,10.64,-5.95,0.9365,0.0635
walking,4498,350,0.5320,0.1509,0.7864,-0.56,5.44,-5.40,0.9613,0.0387
walking,4510,362,0.5337,0.1558,0.7803,-3.50,-0.20,-4.97,0.9581,0.0419
walking,4522,374,0.5503,0.1719,0.7793,-7.00,-4.80,-5.20,0.9694,0.0306
walking,4534,386,0.5625,0.1753,0.7534,-9.63,-6.38,-4.92,0.9564,0.0436
walking,4567,419,0.5728,0.1951,0.7056,-8.62,3.79,-4.68,0.9295,0.0705
walking,4579,431,0.5591,0.2107,0.7229,-4.21,5.17,-6.94,0.9378,0.0622
walking,4591,443,0.5620,0.2300,0.7671,-0.37,5.24,-8.51,0.9784,0.0216
walking,4603,455,0.5798,0.2515,0.8088,1.96,3.92,-9.51,1.0265,0.0265
walking,4615,467,0.6008,0.2769,0.8438,2.91,3.22,-9.88,1.0722,0.0722
walking,4627,479,0.6375,0.2900,0.8889,2.74,2.99,-8.47,1.1317,0.1317
walking,4639,491,0.6223,0.3010,0.9033,0.31,3.05,-7.40,1.1375,0.1375
walking,4651,503,0.5825,0.2803,0.8989,-2.44,-1.47,-6.20,1.1072,0.1072
walking,4663,515,0.5232,0.2676,0.8906,-3.79,-8.34,-8.40,1.0670,0.0670
walking,4675,527,0.5129,0.2512,0.8511,-5.38,-15.82,-11.73,1.0250,0.0250
walking,4703,555,0.6262,0.2800,0.7065,-7.08,-19.21,-13.28,0.9848,0.0152
walking,4715,567,0.6797,0.2954,0.7014,-6.86,-0.47,-12.53,1.0204,0.0204
walking,4727,579,0.7722,0.2891,0.7610,-5.95,18.34,-4.08,1.1220,0.1220
walking,4739,591,0.7935,0.2568,0.8298,-2.03,37.14,6.69,1.1765,0.1765
walking,4751,603,0.6824,0.1982,0.9224,4.46,44.69,15.05,1.1643,0.1643
walking,4763,615,0.5325,0.1191,1.0093,9.54,35.64,13.77,1.1473,0.1473
walking,4775,627,0.4041,0.0574,1.0168,10.58,17.85,6.78,1.0957,0.0957
walking,4787,639,0.3535,0.0271,0.9744,7.46,-2.97,-3.30,1.0369,0.0369
walking,4799,651,0.3767,0.0500,0.8901,1.37,-16.37,-12.37,0.9679,0.0321
walking,4811,663,0.4209,0.0989,0.7781,-2.75,-23.07,-16.93,0.8901,0.1099
walking,4844,696,0.4641,0.1941,0.6052,0.40,-12.65,-12.17,0.7870,0.2130
walking,4856,708,0.4805,0.2424,0.5854,5.05,-2.89,-5.63,0.7952,0.2048
walking,4868,720,0.4658,0.2615,0.6189,10.53,6.33,1.88,0.8176,0.1824
walking,4880,732,0.5010,0.2461,0.7231,13.53,12.24,10.50,0.9135,0.0865
walking,4892,744,0.4890,0.2297,0.7876,15.14,17.76,21.35,0.9551,0.0449
walking,4904,756,0.4102,0.2073,0.8450,15.11,18.13,26.89,0.9619,0.0381
walking,4916,768,0.3843,0.1719,0.8921,13.16,14.47,27.17,0.9864,0.0136
walking,4928,780,0.3960,0.1465,0.9065,10.26,8.59,26.98,1.0000,0.0000
walking,4940,792,0.4368,0.1392,0.9182,6.36,6.49,27.77,1.0263,0.0263
walking,4952,804,0.4382,0.1475,0.9026,1.89,5.95,27.84,1.0141,0.0141
walking,4980,832,0.3750,0.1411,0.8594,-3.25,-8.98,18.02,0.9482,0.0518
walking,4992,844,0.3865,0.1572,0.7759,-4.19,-16.76,13.18,0.8809,0.1191
walking,5004,856,0.4155,0.1753,0.7126,-4.63,-20.37,9.47,0.8434,0.1566
walking,5016,868,0.4492,0.1875,0.6455,-4.53,-19.59,7.91,0.8085,0.1915
walking,5028,880,0.4851,0.2124,0.5991,-2.82,-14.92,6.85,0.7996,0.2004
walking,5040,892,0.4902,0.2217,0.5937,-0.13,-10.26,6.98,0.8013,0.1987
walking,5052,904,0.5161,0.2314,0.6030,1.41,-3.56,7.34,0.8268,0.1732
walking,5064,916,0.5173,0.2344,0.6624,2.18,5.05,7.37,0.8725,0.1275
walking,5076,928,0.5122,0.2388,0.7095,1.39,10.78,6.60,0.9070,0.0930
walking,5088,940,0.4827,0.2268,0.7725,0.30,11.25,4.89,0.9387,0.0613
walking,5116,968,0.4666,0.2292,0.8333,-2.47,-1.21,-1.11,0.9821,0.0179
walking,5128,980,0.4717,0.2463,0.8416,-5.11,-5.97,-2.27,0.9957,0.0043
walking,5140,992,0.4783,0.2617,0.8359,-9.31,-10.04,-3.44,0.9980,0.0020
walking,5152,1004,0.4927,0.2832,0.8115,-12.85,-13.07,-3.56,0.9907,0.0093
walking,5164,1016,0.5020,0.2747,0.7793,-15.40,-13.27,-3.28,0.9668,0.0332
walking,5176,1028,0.5020,0.2747,0.7532,-16.79,-13.28,-3.05,0.9459,0.0541
walking,5188,1040,0.4893,0.2705,0.7246,-17.39,-13.60,-3.89,0.9152,0.0848
walking,5200,1052,0.5066,0.2576,0.7043,-17.61,-12.45,-6.53,0.9050,0.0950
walking,5212,1064,0.4895,0.2551,0.7041,-16.76,-11.77,-10.49,0.8947,0.1053
walking,5224,1076,0.5037,0.2603,0.7043,-15.10,-11.05,-13.55,0.9042,0.0958
walking,5257,1109,0.6050,0.2891,0.7952,-13.63,-6.02,-15.15,1.0401,0.0401
walking,5269,1121,0.6208,0.2805,0.8301,-12.85,-3.26,-14.66,1.0739,0.0739
walking,5281,1133,0.5879,0.2561,0.8853,-11.68,-2.95,-15.83,1.0931,0.0931
walking,5293,1145,0.5811,0.2485,0.9219,-10.53,-9.16,-20.82,1.1177,0.1177
walking,5305,1157,0.5828,0.2393,0.9492,-12.19,-17.72,-25.38,1.1392,0.1392
walking,5317,1169,0.5989,0.2607,0.9429,-18.27,-22.73,-29.22,1.1470,0.1470
walking,5329,1181,0.6458,0.2756,0.8999,-26.52,-20.30,-29.23,1.1414,0.1414
